,Vehicle_Dimensions,Transaction_Amount,Amount_paid,Vehicle_Speed,Hour,Month,is_Bus,is_Car,is_Motorcycle,is_Truck,is_Van,is_Sedan,is_SUV,is_A-101,is_B-102,is_D-104,is_C-103,is_D-105,is_D-106,Latitude,Longitude,Fraud,Express_Lane,Regular_Lane
0,3,350,120,65,11,1,1,0,0,0,0,0,0,1,0,0,0,0,0,13.059816123454882,77.77068662374292,1,1,0
1,1,120,100,78,14,1,0,1,0,0,0,0,0,0,1,0,0,0,0,13.059816123454882,77.77068662374292,1,0,1
2,1,0,0,53,18,1,0,0,1,0,0,0,0,0,0,1,0,0,0,13.059816123454882,77.77068662374292,0,0,1
3,3,350,120,92,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,13.059816123454882,77.77068662374292,1,0,1
4,2,140,100,60,6,1,0,0,0,0,1,0,0,0,1,0,0,0,0,13.059816123454882,77.77068662374292,1,1,0
5,2,160,100,105,10,1,0,0,0,0,0,1,0,1,0,0,0,0,0,13.059816123454882,77.77068662374292,1,0,1
6,3,180,160,70,15,1,0,0,0,0,0,0,1,0,1,0,0,0,0,13.059816123454882,77.77068662374292,1,1,0
7,3,350,90,88,20,1,1,0,0,0,0,0,0,0,0,0,1,0,0,13.059816123454882,77.77068662374292,1,0,1
8,1,120,0,45,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,13.059816123454882,77.77068662374292,1,1,0
9,1,0,0,72,7,1,0,0,1,0,0,0,0,0,0,1,0,0,0,13.059816123454882,77.77068662374292,0,0,1
10,3,350,120,58,12,1,0,0,0,1,0,0,0,0,0,0,1,0,0,13.059816123454882,77.77068662374292,1,1,0
11,2,140,120,81,17,1,0,0,0,0,1,0,0,0,1,0,0,0,0,13.059816123454882,77.77068662374292,1,0,1
12,2,160,120,67,22,1,0,0,0,0,0,1,0,1,0,0,0,0,0,13.059816123454882,77.77068662374292,1,1,0
13,3,180,180,98,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,13.059816123454882,77.77068662374292,0,0,1
14,3,350,120,50,8,1,1,0,0,0,0,0,0,1,0,0,0,0,0,13.059816123454882,77.77068662374292,1,1,0
15,1,120,90,75,13,1,0,1,0,0,0,0,0,0,1,0,0,0,0,13.059816123454882,77.77068662374292,1,0,1
16,1,0,0,62,16,1,0,0,1,0,0,0,0,0,0,1,0,0,0,13.059816123454882,77.77068662374292,0,0,1
17,3,350,120,84,22,1,0,0,0,1,0,0,0,0,0,0,1,0,0,13.059816123454882,77.77068662374292,1,0,1
18,2,140,120,55,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,13.059816123454882,77.77068662374292,1,1,0
19,2,160,160,80,7,1,0,0,0,0,0,1,0,1,0,0,0,0,0,13.059816123454882,77.77068662374292,0,0,1
20,3,180,100,68,12,1,0,0,0,0,0,0,1,0,1,0,0,0,0,13.059816123454882,77.77068662374292,1,1,0
21,3,350,350,90,15,1,1,0,0,0,0,0,0,0,0,0,1,0,0,13.059816123454882,77.77068662374292,0,0,1
22,1,120,90,48,21,1,0,1,0,0,0,0,0,1,0,0,0,0,0,13.059816123454882,77.77068662374292,1,1,0
23,1,0,0,77,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,13.059816123454882,77.77068662374292,0,0,1
24,3,350,120,63,7,1,0,0,0,1,0,0,0,0,0,0,1,0,0,13.059816123454882,77.77068662374292,1,1,0
25,2,140,140,87,11,1,0,0,0,0,1,0,0,0,1,0,0,0,0,13.059816123454882,77.77068662374292,0,0,1
26,2,160,100,52,16,2,0,0,0,0,0,1,0,1,0,0,0,0,0,13.059816123454882,77.77068662374292,1,1,0
27,3,180,120,95,21,2,0,0,0,0,0,0,1,0,1,0,0,0,0,13.059816123454882,77.77068662374292,1,0,1
28,3,350,350,73,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,13.059816123454882,77.77068662374292,0,1,0
29,1,120,120,82,8,2,0,1,0,0,0,0,0,1,0,0,0,0,0,13.059816123454882,77.77068662374292,0,0,1
30,1,0,0,57,13,2,0,0,1,0,0,0,0,0,0,1,0,0,0,13.059816123454882,77.77068662374292,0,0,1
31,3,350,350,96,18,2,0,0,0,1,0,0,0,0,0,0,1,0,0,13.059816123454882,77.77068662374292,0,0,1
32,2,140,100,66,23,2,0,0,0,0,1,0,0,0,1,0,0,0,0,13.059816123454882,77.77068662374292,1,1,0
33,2,160,160,89,5,2,0,0,0,0,0,1,0,1,0,0,0,0,0,13.059816123454882,77.77068662374292,0,0,1
34,3,180,120,51,9,2,0,0,0,0,0,0,1,0,1,0,0,0,0,13.059816123454882,77.77068662374292,1,1,0
35,3,350,350,76,14,2,1,0,0,0,0,0,0,0,0,0,1,0,0,13.059816123454882,77.77068662374292,0,0,1
36,1,120,0,61,17,2,0,1,0,0,0,0,0,1,0,0,0,0,0,13.059816123454882,77.77068662374292,1,1,0
37,1,0,0,85,23,2,0,0,1,0,0,0,0,0,0,1,0,0,0,13.059816123454882,77.77068662374292,0,0,1
38,3,350,350,74,4,2,0,0,0,1,0,0,0,0,0,0,1,0,0,13.059816123454882,77.77068662374292,0,1,0
39,2,140,90,93,8,2,0,0,0,0,1,0,0,0,1,0,0,0,0,13.059816123454882,77.77068662374292,1,0,1
40,2,160,120,49,13,2,0,0,0,0,0,1,0,1,0,0,0,0,0,13.059816123454882,77.77068662374292,1,1,0
41,3,180,180,83,16,2,0,0,0,0,0,0,1,0,1,0,0,0,0,13.059816123454882,77.77068662374292,0,0,1
42,3,350,90,59,22,2,1,0,0,0,0,0,0,0,0,0,1,0,0,13.059816123454882,77.77068662374292,1,1,0
43,1,120,90,91,4,2,0,1,0,0,0,0,0,1,0,0,0,0,0,13.059816123454882,77.77068662374292,1,0,1
44,1,0,0,71,8,2,0,0,1,0,0,0,0,0,0,1,0,0,0,13.059816123454882,77.77068662374292,0,0,1
45,3,350,140,86,13,2,0,0,0,1,0,0,0,0,0,0,1,0,0,13.059816123454882,77.77068662374292,1,0,1
46,2,140,90,56,18,2,0,0,0,0,1,0,0,0,1,0,0,0,0,13.059816123454882,77.77068662374292,1,1,0
47,2,160,160,79,22,2,0,0,0,0,0,1,0,1,0,0,0,0,0,13.059816123454882,77.77068662374292,0,0,1
48,3,180,180,64,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,13.059816123454882,77.77068662374292,0,1,0
49,3,350,120,97,8,2,1,0,0,0,0,0,0,0,0,0,1,0,0,13.059816123454882,77.77068662374292,1,0,1
50,1,120,120,69,13,2,0,1,0,0,0,0,0,1,0,0,0,0,0,13.059816123454882,77.77068662374292,0,1,0
51,1,0,0,94,18,2,0,0,1,0,0,0,0,0,0,1,0,0,0,13.059816123454882,77.77068662374292,0,0,1
52,3,350,100,54,23,2,0,0,0,1,0,0,0,0,0,0,1,0,0,13.059816123454882,77.77068662374292,1,1,0
53,2,140,140,81,5,2,0,0,0,0,1,0,0,0,1,0,0,0,0,13.059816123454882,77.77068662374292,0,0,1
54,2,160,90,65,9,3,0,0,0,0,0,1,0,1,0,0,0,0,0,13.059816123454882,77.77068662374292,1,1,0
55,3,180,180,92,14,3,0,0,0,0,0,0,1,0,1,0,0,0,0,13.059816123454882,77.77068662374292,0,0,1
56,3,350,350,50,18,3,1,0,0,0,0,0,0,0,0,0,1,0,0,13.059816123454882,77.77068662374292,0,1,0
57,1,120,90,75,23,3,0,1,0,0,0,0,0,1,0,0,0,0,0,13.059816123454882,77.77068662374292,1,0,1
58,1,0,0,58,3,3,0,0,1,0,0,0,0,0,0,1,0,0,0,13.059816123454882,77.77068662374292,0,0,1
59,3,350,90,89,7,3,0,0,0,1,0,0,0,0,0,0,1,0,0,13.059816123454882,77.77068662374292,1,0,1
60,2,140,90,44,12,3,0,0,0,0,1,0,0,0,1,0,0,0,0,13.059816123454882,77.77068662374292,1,1,0
61,2,160,160,78,16,3,0,0,0,0,0,1,0,1,0,0,0,0,0,13.059816123454882,77.77068662374292,0,0,1
62,3,180,180,67,21,3,0,0,0,0,0,0,1,0,1,0,0,0,0,13.059816123454882,77.77068662374292,0,1,0
63,3,350,350,95,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,13.059816123454882,77.77068662374292,0,0,1
64,1,120,90,55,8,3,0,1,0,0,0,0,0,1,0,0,0,0,0,13.059816123454882,77.77068662374292,1,1,0
65,1,0,0,80,13,3,0,0,1,0,0,0,0,0,0,1,0,0,0,13.059816123454882,77.77068662374292,0,0,1
66,3,350,350,62,18,3,0,0,0,1,0,0,0,0,0,0,1,0,0,13.059816123454882,77.77068662374292,0,1,0
67,2,140,90,87,23,3,0,0,0,0,1,0,0,0,1,0,0,0,0,13.059816123454882,77.77068662374292,1,0,1
68,2,160,160,47,5,3,0,0,0,0,0,1,0,1,0,0,0,0,0,13.059816123454882,77.77068662374292,0,1,0
69,3,180,100,73,10,3,0,0,0,0,0,0,1,0,1,0,0,0,0,13.059816123454882,77.77068662374292,1,0,1
70,3,350,350,68,14,3,1,0,0,0,0,0,0,0,0,0,1,0,0,13.059816123454882,77.77068662374292,0,1,0
71,1,120,120,91,19,3,0,1,0,0,0,0,0,1,0,0,0,0,0,13.059816123454882,77.77068662374292,0,0,1
72,1,0,0,53,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,13.059816123454882,77.77068662374292,0,0,1
73,3,350,100,82,6,3,0,0,0,1,0,0,0,0,0,0,1,0,0,13.059816123454882,77.77068662374292,1,0,1
74,2,140,110,56,11,3,0,0,0,0,1,0,0,0,1,0,0,0,0,13.059816123454882,77.77068662374292,1,1,0
75,2,160,90,84,15,3,0,0,0,0,0,1,0,1,0,0,0,0,0,13.059816123454882,77.77068662374292,1,0,1
76,3,180,180,69,21,3,0,0,0,0,0,0,1,0,1,0,0,0,0,13.059816123454882,77.77068662374292,0,1,0
77,3,350,350,94,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,13.059816123454882,77.77068662374292,0,0,1
78,1,120,100,49,6,3,0,1,0,0,0,0,0,1,0,0,0,0,0,13.059816123454882,77.77068662374292,1,1,0
79,1,0,0,76,11,3,0,0,1,0,0,0,0,0,0,1,0,0,0,13.059816123454882,77.77068662374292,0,0,1
80,3,350,350,63,16,3,0,0,0,1,0,0,0,0,0,0,1,0,0,13.059816123454882,77.77068662374292,0,1,0
81,2,140,120,88,21,3,0,0,0,0,1,0,0,0,1,0,0,0,0,13.059816123454882,77.77068662374292,1,0,1
82,2,160,60,74,2,3,0,0,0,0,0,1,0,1,0,0,0,0,0,13.059816123454882,77.77068662374292,1,1,0
83,3,180,90,96,7,3,0,0,0,0,0,0,1,0,1,0,0,0,0,13.059816123454882,77.77068662374292,1,0,1
84,3,350,140,61,12,3,1,0,0,0,0,0,0,0,0,0,1,0,0,13.059816123454882,77.77068662374292,1,1,0
85,1,120,60,85,16,4,0,1,0,0,0,0,0,1,0,0,0,0,0,13.059816123454882,77.77068662374292,1,0,1
86,1,0,0,52,22,4,0,0,1,0,0,0,0,0,0,1,0,0,0,13.059816123454882,77.77068662374292,0,0,1
87,3,350,350,79,3,4,0,0,0,1,0,0,0,0,0,0,1,0,0,13.059816123454882,77.77068662374292,0,0,1
88,2,140,140,66,7,4,0,0,0,0,1,0,0,0,1,0,0,0,0,13.059816123454882,77.77068662374292,0,1,0
